id;nombre;posologia;tiempo_tomando
1;Money Market Account Customer;Dynamic hack;paradigms methodology
2;Realigned reinvent Prairie;deposit auxiliary deliver;Somali Shilling
3;Wooden;copy Face to face;Licensed Frozen Car Fresh Motorway
4;Dobra;Berkshire synthesize Avon;Danish Krone platforms
5;hard drive Station Passage;back up Global;Computer SDD Networked
6;Berkshire Chips Spurs;deposit Regional;deposit RAM Credit Card Account
7;Burundi Franc transmitting auxiliary;USB disintermediate;Sleek Rubber Ball
8;Cambridgeshire matrix;Buckinghamshire collaborative;Agent
9;quantifying;Branding application;Steel 1080p
10;JBOD;Gloves;collaborative vortals sticky
